Americas,Peru,26.1,30973354,75.3
Western Pacific,Philippines,22.2,100102249,68.4
Europe,Poland,24.1,38011735,77.3
Europe,Portugal,9.4,10401062,80.9
Eastern Mediterranean,Qatar,103.4,2374419,78.1
Western Pacific,Republic of Korea,26.8,25116363,82
Europe,Republic of Moldova,16.8,3556397,71.8
Europe,Romania,18.8,19908979,74.8
Europe,Russia,14.8,143819666,70.3
Africa,Rwanda,42.8,11345357,65.7
Africa,Sao Tome and Principe,12.7,191266,67.3
Eastern Mediterranean,Saudi Arabia,107.7,30776722,74.4
Africa,Senegal,33.8,14546111,66.4
Europe,Serbia,19.4,7130576,75.4
Africa,Seychelles,13,91359,73
Africa,Sierra Leone,17.1,7079162,48.1
Western Pacific,Singapore,17,5469724,82.9
Europe,Slovakia,19.3,5418649,76.4
Europe,Slovenia,18.2,2061980,80.7
Western Pacific,Solomon Islands,5,575504,68.8
Eastern Mediterranean,Somalia,15.9,13513125,54.3
Africa,South Africa,27.4,54146734.74,62
Africa,South Sudan,29.3,11530971,56.6
Europe,Spain,9.5,46480882,82.6
South-East Asia,Sri Lanka,26.7,20771000,74.7
Eastern Mediterranean,Sudan,43.7,37737913,63.8
Americas,Suriname,15.6,547928,71.4
Africa,Swaziland,17.9,1295097,58.4
Europe,Sweden,5.7,9696110,82.3
Europe,Switzerland,12,8188649,83.2
Eastern Mediterranean,Syria,33.9,19203090,64.4
Europe,Tajikistan,40.8,8362745,69.6
South-East Asia,Thailand,24.6,68416772,74.6
Europe,Macedonia,37.1,2077495,75.5
South-East Asia,Timor-Leste,14.8,1212814,68
Africa,Togo,28.3,7228915,59.7
Americas,Trinidad and Tobago,12.6,1354493,71.1
Eastern Mediterranean,Tunisia,36.4,11143908,75.1
Europe,Turkey,33.5,77030628,75.5
Europe,Turkmenistan,25.1,5466241,66
Africa,Uganda,57.2,38833338,61.5
Europe,Ukraine,16.4,45271947,70.8
Eastern Mediterranean,United Arab Emirates,63.6,9070867,76.9
Europe,United Kingdom ,12.1,64613160,81
Africa,Tanzania,21.7,52234869,60.7
Americas,United States,8.2,318563456,79.1
Americas,Uruguay,11.3,3419546,76.8
Europe,Uzbekistan,31.7,30757700,69.2
Western Pacific,Vanuatu,6.3,258850,71.7
Americas,Venezuela ,22.5,30738378,73.9
Western Pacific,Vietnam,25.7,90728900,75.9
Eastern Mediterranean,Yemen,42.7,26246327,65.4
Africa,Zambia,23.4,15620974,61.1
Africa,Zimbabwe,19.6,15411675,59.2
